Epoch 0 | Batch 121 | Time 0.100s | Total Loss 0.155622 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.242591 | Zero Loss 0.000000 | Nonzero Loss 0.033558
Epoch 0 | Batch 122 | Time 0.101s | Total Loss 0.170751 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268603 | Zero Loss 0.000000 | Nonzero Loss 0.031962
Epoch 0 | Batch 123 | Time 0.100s | Total Loss 0.170101 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.267587 | Zero Loss 0.000000 | Nonzero Loss 0.031830
Epoch 0 | Batch 124 | Time 0.100s | Total Loss 0.176697 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.279326 | Zero Loss 0.000000 | Nonzero Loss 0.030339
Epoch 0 | Batch 125 | Time 0.100s | Total Loss 0.163336 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.256422 | Zero Loss 0.000000 | Nonzero Loss 0.031609
Epoch 0 | Batch 126 | Time 0.101s | Total Loss 0.180363 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.285487 | Zero Loss 0.000000 | Nonzero Loss 0.030235
Epoch 0 | Batch 127 | Time 0.101s | Total Loss 0.170222 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268399 | Zero Loss 0.000000 | Nonzero Loss 0.030608
Epoch 0 | Batch 128 | Time 0.101s | Total Loss 0.162645 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.255745 | Zero Loss 0.000000 | Nonzero Loss 0.030661
Epoch 0 | Batch 129 | Time 0.101s | Total Loss 0.171893 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.271056 | Zero Loss 0.000000 | Nonzero Loss 0.030865
Epoch 0 | Batch 130 | Time 0.101s | Total Loss 0.171272 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.270161 | Zero Loss 0.000000 | Nonzero Loss 0.030585
Epoch 0 | Batch 131 | Time 0.101s | Total Loss 0.153981 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.241133 | Zero Loss 0.000000 | Nonzero Loss 0.031005
Epoch 0 | Batch 132 | Time 0.102s | Total Loss 0.185625 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.295373 | Zero Loss 0.000000 | Nonzero Loss 0.028002
Epoch 0 | Batch 133 | Time 0.101s | Total Loss 0.173217 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.274177 | Zero Loss 0.000000 | Nonzero Loss 0.029035
Epoch 0 | Batch 134 | Time 0.101s | Total Loss 0.175584 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.278170 | Zero Loss 0.000000 | Nonzero Loss 0.028941
Epoch 0 | Batch 135 | Time 0.101s | Total Loss 0.167164 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.263913 | Zero Loss 0.000000 | Nonzero Loss 0.029386
Epoch 0 | Batch 136 | Time 0.101s | Total Loss 0.156541 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.246219 | Zero Loss 0.000000 | Nonzero Loss 0.029367
Epoch 0 | Batch 137 | Time 0.101s | Total Loss 0.175133 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.277496 | Zero Loss 0.000000 | Nonzero Loss 0.028785
Epoch 0 | Batch 138 | Time 0.100s | Total Loss 0.166014 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.262705 | Zero Loss 0.000000 | Nonzero Loss 0.027970
Epoch 0 | Batch 139 | Time 0.100s | Total Loss 0.172380 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.273111 | Zero Loss 0.000000 | Nonzero Loss 0.028377
Epoch 0 | Batch 140 | Time 0.101s | Total Loss 0.165341 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.261393 | Zero Loss 0.000000 | Nonzero Loss 0.028351
Epoch 0 | Batch 141 | Time 0.101s | Total Loss 0.167209 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.264210 | Zero Loss 0.000000 | Nonzero Loss 0.028943
Epoch 0 | Batch 142 | Time 0.101s | Total Loss 0.151389 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.238012 | Zero Loss 0.000000 | Nonzero Loss 0.028606
Epoch 0 | Batch 143 | Time 0.100s | Total Loss 0.164027 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.259775 | Zero Loss 0.000000 | Nonzero Loss 0.027207
Epoch 0 | Batch 144 | Time 0.101s | Total Loss 0.159134 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.251464 | Zero Loss 0.000000 | Nonzero Loss 0.027518
Epoch 0 | Batch 145 | Time 0.101s | Total Loss 0.169220 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.268869 | Zero Loss 0.000000 | Nonzero Loss 0.026327
Epoch 0 | Batch 146 | Time 0.101s | Total Loss 0.152565 | Mask Zero Loss 0.000000 |Mask Nonzero loss 0.239622 | Zero Loss 0.000000 | Nonzero Loss 0.029308
